date, pm25, pm10, o3, no2, so2, co
2024/5/22, 63, 27, , 12, 4, 4
2024/5/23, 53, 28, , 14, 3, 3
2024/5/24, 58, 25, , 13, 5, 5
2024/5/25, 52, 16, , 8, 3, 3
2024/5/26, 42, 18, , 8, 3, 2
2024/5/27, 28, 29, , 15, 5, 6
2024/5/28, 72, 44, , 11, 7, 7
2024/5/29, 82, 36, , 10, 6, 4
2024/5/30, 67, 20, , 9, 3, 2
2024/5/31, 36, 24, , 14, 3, 2
2024/6/1, 39, 22, , 13, 4, 5
2024/6/2, 54, 22, , 16, 4, 6
2024/6/3, 46, 41, , 23, 8, 9
2024/6/4, 84, 36, , 13, 9, 8
2024/6/5, 66, 32, , 11, 7, 5
2024/6/6, 61, 26, , 9, 6, 4
2024/6/7, 58, 20, , 8, 4, 4
2024/6/8, 61, 25, , 13, 5, 4
2024/6/9, 55, 32, , 15, 7, 8
2024/6/10, 72, 35, , 10, 7, 6
2024/6/11, 79, 28, , 8, 4, 6
2024/6/12, 61, 27, , 9, 6, 5
2024/6/13, 55, 20, , 13, 4, 5
2024/6/14, 60, 19, , 9, 2, 3
2024/6/15, 51, 30, , 14, 4, 6
2024/6/16, 67, 42, , 10, 5, 8
2024/6/17, 87, 47, , 11, 5, 9
2024/6/18, 99, 38, , 9, 5, 5
2024/6/19, 55, 29, , 10, 5, 5
2024/6/20, 64, 28, , 9, 3, 5
2024/6/21, 66, 23, , 7, 2, 5
2024/6/22, 65, 65, , 5, 2, 3
2024/6/23, 95, 23, , 7, 2, 2
2024/6/24, 31, 14, , 12, 3, 3
2024/6/25, 30, 25, , 10, 5, 5
2024/6/26, 51, 32, , 9, 7, 5
2024/6/27, 64, 33, , 8, 5, 5
2024/6/28, 63, 26, , 7, 6, 3
2024/6/29, 50, 21, , 10, 2, 3
2024/6/30, 56, 45, , 11, 2, 4
2024/1/1, 173, 98, , 27, 5, 13
2024/1/2, 189, 77, , 27, 5, 11
2024/1/3, 151, 52, , 18, 8, 8
2024/1/4, 126, 33, , 19, 7, 6
2024/1/5, 60, 47, , 19, 9, 9
2024/1/6, 105, 23, , 11, 7, 6
2024/1/7, 53, 44, , 18, 10, 11
2024/1/8, 99, 50, , 21, 9, 8
2024/1/9, 118, 65, , 24, 14, 13
2024/1/10, 160, 56, , 16, 7, 7
2024/1/11, 107, 47, , 21, 10, 6
2024/1/12, 82, 52, , 23, 12, 10
2024/1/13, 122, 44, , 13, 5, 4
2024/1/14, 60, 54, , 26, 12, 9
2024/1/15, 115, 67, , 27, 13, 15
2024/1/16, 154, 63, , 19, 8, 9
2024/1/17, 147, 51, , 13, 5, 7
2024/1/18, 118, 58, , 17, 5, 8
2024/1/19, 145, 49, , 13, 5, 7
2024/1/20, 112, 44, , 9, 6, 5
2024/1/21, 70, 24, , 11, 8, 6
2024/1/22, 61, 35, , 22, 10, 8
2024/1/23, 100, 40, , 22, 10, 6
2024/1/24, 99, 68, , 30, 14, 14
2024/1/25, 158, 63, , 25, 9, 10
2024/1/26, 120, 68, , 30, 12, 12
2024/1/27, 150, 76, , 34, 16, 16
2024/1/28, 169, 54, , 23, 14, 9
2024/1/29, 109, 105, , 34, 16, 18
2024/1/30, 202, 60, , 17, 11, 6
2024/1/31, 118, 43, , 16, 12, 6
2024/2/1, 101, 58, , 23, 11, 9
2024/2/2, 150, 69, , 21, 8, 9
2024/2/3, 165, 67, , 22, 12, 11
2024/2/4, 156, 60, , 16, 12, 9
2024/2/5, 160, 66, , 16, 10, 9
2024/2/6, 165, 75, , 32, 12, 13
2024/2/7, 171, 108, , 32, 11, 17
2024/2/8, 209, 111, , 32, 12, 19
2024/2/9, 215, 148, , 17, 11, 10
2024/2/10, 235, 58, , 15, 11, 10
2024/2/11, 124, 57, , 10, 10, 11
2024/2/12, 129, 73, , 9, 10, 13
2024/2/13, 161, 40, , 6, 5, 7
2024/2/14, 66, 35, , 9, 5, 4
2024/2/15, 76, 45, , 8, 7, 5
2024/2/16, 91, 42, , 4, 4, 4
2024/2/17, 82, 26, , 9, 6, 5
2024/2/18, 71, 38, , 6, 4, 3
2024/2/19, 64, 39, , 5, 4, 3
2024/2/20, 64, 28, , 7, 4, 4
2024/2/21, 74, 30, , 11, 4, 5
2024/2/22, 92, 48, , 17, 6, 6
2024/2/23, 129, 63, , 27, 11, 9
2024/2/24, 157, 66, , 18, 9, 7
2024/2/25, 156, 58, , 16, 6, 6
2024/2/26, 129, 76, , 26, 16, 12
2024/2/27, 160, 86, , 18, 7, 7
2024/2/28, 169, 54, , 13, 6, 5
2024/2/29, 95, 43, , 11, 7, 5
2024/3/1, 74, 46, , 13, 8, 5
2024/3/2, 86, 41, , 14, 8, 5
2024/3/3, 79, 55, , 23, 10, 9
2024/3/4, 122, 45, , 16, 6, 5
2024/3/5, 92, 41, , 18, 7, 5
2024/3/6, 90, 59, , 24, 10, 8
2024/3/7, 125, 43, , 9, 5, 4
2024/3/8, 74, 59, , 20, 11, 9
2024/3/9, 133, 93, , 23, 12, 12
2024/3/10, 171, 67, , 18, 7, 8
2024/3/11, 144, 50, , 21, 7, 6
2024/3/12, 110, 66, , 23, 11, 8
2024/3/13, 129, 118, , 26, 17, 14
2024/3/14, 207, 76, , 18, 8, 6
2024/3/15, 133, 94, , 20, 11, 11
2024/3/16, 176, 76, , 10, 6, 5
2024/3/17, 77, 71, , 17, 10, 8
2024/3/18, 154, 44, , 12, 4, 4
2024/3/19, 94, 43, , 11, 5, 3
2024/3/20, 94, 57, , 15, 9, 8
2024/3/21, 135, 36, , 12, 7, 5
2024/3/22, 79, 71, , 19, 7, 8
2024/3/23, 161, 38, , 10, 5, 4
2024/3/24, 64, 49, , 14, 6, 4
2024/3/25, 125, 65, , 17, 6, 4
2024/3/26, 149, 63, , 10, 7, 5
2024/3/27, 143, 89, , 11, 5, 2
2024/3/28, 101, 118, , 13, 5, 3
2024/3/29, 90, 68, , 13, 4, 3
2024/3/30, 69, 73, , 19, 7, 4
2024/3/31, 109, 42, , 13, 5, 2
2023/10/1, 54, 36, 43, 15, 10, 8
2023/10/2, 68, 39, 60, 8, 6, 4
2023/10/3, 61, 30, 26, 9, 3, 3
2023/10/4, 39, 31, 25, 13, 5, 3
2023/10/5, 42, 45, 27, 21, 11, 7
2023/10/6, 81, 47, 32, 23, 4, 7
2023/10/7, 86, 42, 35, 17, 5, 7
2023/10/8, 88, 27, 28, 15, 2, 6
2023/10/9, 78, 53, 28, 33, 2, 12
2023/10/10, 108, 66, 32, 33, 5, 14
2023/10/11, 126, 69, 38, 32, 6, 13
2023/10/12, 132, 53, 35, 24, 6, 10
2023/10/13, 108, 46, 33, 21, 3, 9
2023/10/14, 102, 41, 23, 18, 5, 8
2023/10/15, 72, 36, 18, 21, 4, 6
2023/10/16, 60, 49, 43, 18, 7, 8
2023/10/17, 93, 45, 38, 17, 10, 5
2023/10/18, 85, 36, 20, 17, 3, 5
2023/10/19, 56, 19, 19, 11, 2, 2
2023/10/20, 28, 27, 20, 12, 6, 2
2023/10/21, 52, 44, 22, 20, 6, 7
2023/10/22, 83, 72, 62, 17, 8, 9
2023/10/23, 153, 62, 57, 13, 10, 6
2023/10/24, 135, 65, 78, 15, 9, 7
2023/10/25, 124, 27, 22, 14, 2, 2
2023/10/26, 25, 58, 24, 25, 4, 9
2023/10/27, 108, 72, 25, 30, 8, 11
2023/10/28, 138, 86, 49, 23, 10, 10
2023/10/29, 161, 60, 39, 20, 7, 6
2023/10/30, 111, 61, 41, 17, 11, 6
2023/10/31, 114, 54, 20, 20, 4, 5
2023/11/1, 93, 69, 56, 21, 9, 11
2023/11/2, 139, 31, 19, 13, 3, 3
2023/11/3, 53, 59, 9, 25, 13, 10
2023/11/4, 139, 99, 2, 25, 6, 12
2023/11/5, 187, 46, 20, 12, 2, 4
2023/11/6, 77, 58, 16, 19, 8, 5
2023/11/7, 70, 37, 10, 23, 6, 8
2023/11/8, 98, 24, 26, 16, 4, 5
2023/11/9, 89, 17, , 11, 4, 3
2023/11/10, 40, 24, , 14, 5, 4
2023/11/11, 68, 40, , 20, 7, 5
2023/11/12, 105, 61, , 29, 15, 11
2023/11/13, 149, 75, , 34, 27, 18
2023/11/14, 161, 88, , 28, 22, 14
2023/11/15, 174, 48, , 20, 7, 5
2023/11/16, 95, 24, , 11, 4, 3
2023/11/17, 64, 38, , 15, 11, 6
2023/11/18, 114, 35, , 20, 8, 7
2023/11/19, 77, 43, , 20, 17, 9
2023/11/20, 95, 56, , 15, 10, 8
2023/11/21, 137, 46, , 13, 9, 10
2023/11/22, 115, 23, , 8, 3, 5
2023/11/23, 43, 17, , 6, 4, 5
2023/11/24, 38, 34, , 15, 13, 8
2023/11/25, 88, 49, , 16, 8, 9
2023/11/26, 135, 59, , 17, 5, 9
2023/11/27, 137, 23, , 16, 8, 5
2023/11/28, 67, 25, , 14, 6, 4
2023/11/29, 60, 26, , 16, 8, 5
2023/11/30, 74, 38, , 17, 9, 5
2023/12/1, 74, 36, , 21, 10, 7
2023/12/2, 77, 47, , 19, 11, 9
2023/12/3, 105, 60, , 23, 8, 9
2023/12/4, 133, 87, , 24, 8, 11
2023/12/5, 176, 53, , 17, 6, 6
2023/12/6, 92, 49, , 24, 14, 10
2023/12/7, 95, 85, , 13, 5, 6
2023/12/8, 126, 34, , 9, 5, 4
2023/12/9, 52, 28, , 9, 4, 4
2023/12/10, 59, 43, , 10, 4, 5
2023/12/11, 79, 55, , 14, 6, 6
2023/12/12, 120, 68, , 18, 6, 8
2023/12/13, 147, 72, , 15, 5, 7
2023/12/14, 130, 95, , 8, 4, 4
2023/12/15, 70, 45, , 11, 6, 5
2023/12/16, 58, 33, , 15, 10, 6
2023/12/17, 76, 60, , 27, 14, 14
2023/12/18, 150, 60, , 23, 10, 9
2023/12/19, 142, 25, , 12, 6, 3
2023/12/20, 62, 30, , 16, 8, 5
2023/12/21, 77, 58, , 26, 14, 12
2023/12/22, 142, 87, , 34, 22, 20
2023/12/23, 185, 99, , 32, 15, 18
2023/12/24, 193, 94, , 31, 14, 18
2023/12/25, 182, 47, , 25, 10, 7
2023/12/26, 113, 71, , 29, 15, 15
2023/12/27, 165, 76, , 31, 19, 16
2023/12/28, 172, 75, , 28, 24, 15
2023/12/29, 166, 77, , 29, 18, 13
2023/12/30, 175, 54, , 15, 13, 6
2023/12/31, 119, 72, , 26, 15, 14
2023/7/1, 60, 41, 103, 12, 4, 9
2023/7/2, 93, 20, 68, 6, 5, 5
2023/7/3, 56, 34, 43, 9, 2, 6
2023/7/4, 62, 37, 66, 6, 2, 7
2023/7/5, 56, 57, 86, 7, 4, 7
2023/7/6, 87, 27, 74, 5, 2, 6
2023/7/7, 63, 26, 53, 7, 2, 6
2023/7/8, 58, 20, 51, 7, 4, 6
2023/7/9, 54, 21, 51, 8, 1, 5
