date, pm25, pm10, o3, no2, so2, co
2024/1/16, 37, 36, 30, 23, 3, 5
2024/1/17, 55, 50, 11, 20, 2, 8
2024/1/18, 118, 42, 22, 13, 2, 7
2024/1/19, 99, 39, 8, 16, 2, 9
2024/1/20, 97, 46, 26, 12, 2, 5
2024/1/21, 120, 35, 23, 9, 2, 4
2024/1/22, 84, 34, 22, 10, 3, 4
2024/1/23, 76, 47, 19, 18, 4, 6
2024/1/24, 90, 57, 19, 29, 5, 6
2024/1/25, 118, 73, 17, 36, 6, 8
2024/1/26, 153, 83, 16, 36, 5, 8
2024/1/27, 164, 86, 30, 33, 5, 8
2024/1/28, 165, 79, 33, 28, 4, 7
2024/1/29, 163, 34, 21, 21, 3, 4
2024/1/30, 87, 22, 12, 26, 2, 4
2024/1/31, 68, 19, 27, 17, 2, 4
2024/2/1, 59, 26, 24, 10, 3, 4
2024/2/2, 54, 14, 23, 11, 2, 5
2024/2/3, 48, 26, 23, 14, 2, 6
2024/2/4, 70, 40, 24, 9, 2, 7
2024/2/5, 101, 53, 25, 12, 2, 7
2024/2/6, 130, 36, 33, 9, 3, 6
2024/2/7, 82, 50, 40, 9, 4, 7
2024/2/8, 112, 84, 55, 15, 4, 10
2024/2/9, 173, 91, 43, 13, 5, 9
2024/2/10, 177, 80, 43, 14, 4, 8
2024/2/11, 155, 78, 53, 11, 3, 6
2024/2/12, 134, 50, 43, 9, 3, 5
2024/2/13, 85, 45, 43, 12, 3, 5
2024/2/14, 96, 38, 31, 7, 2, 6
2024/2/15, 78, 21, 34, 5, 3, 5
2024/2/16, 42, 23, 39, 10, 3, 3
2024/2/17, 46, 26, 33, 8, 3, 3
2024/2/18, 57, 38, 19, 14, 3, 6
2024/2/19, 89, 18, 23, 9, 2, 4
2024/2/20, 54, 11, 18, 12, , 5
2024/2/21, 42, 24, 19, 12, , 6
2024/2/22, 60, 41, 19, 14, 3, 5
2024/2/23, 92, 44, 19, 13, 2, 8
2024/2/24, 107, 57, 34, 12, 3, 6
2024/2/25, 151, 49, 39, 11, 4, 6
2024/2/26, 116, 52, 34, 12, 3, 5
2024/2/27, 90, 28, 28, 19, 3, 7
2024/2/28, 66, 13, 38, 18, 2, 7
2024/2/29, 43, 34, 36, 6, 3, 4
2024/3/1, 62, 54, 38, 15, 3, 5
2024/3/2, 95, 54, 48, 13, 3, 6
2024/3/3, 120, 30, 40, 15, 3, 5
